iso_code,year,fertility_rate,current_usd,deflation,annual_rate,female_participation,unemployment,married_percentage,WGI,CPI10,CPI100,log_gdppc
IDN,1960,5.505,,,,,,,,,,
IDX,1960,6.57083215392192,118.16007015041,,,,,,,,,4.7720402319129445
IMN,1960,2.682,,,,,,,,,,
IND,1960,5.921,84.9328084793106,,,,,,,,,4.441860455410851
IRL,1960,3.78,706.551022345168,,,,,,,,,6.560395417981453
IRN,1960,7.519,195.577527212584,,,,,,,,,5.2759568594489705
IRQ,1960,5.3,218.917802531101,,,,,,,,,5.388696328454011
ISL,1960,4.29,1436.25885405655,,,,,,,,,7.269796993848263
ISR,1960,3.866,1452.48664030437,,,,,,,,,7.281032290958721
ITA,1960,2.4,836.905850281885,,,,,,,,,6.729711579433663
JAM,1960,5.538,423.674098184095,,,,,,,,,6.048964523321308
JOR,1960,7.599,,,,,,,,,,
JPN,1960,2.0,508.702779291773,,,,,,,,,6.231863915332122
KAZ,1960,4.495,,,,,,,,,,
KEN,1960,7.651,102.824417465582,,,,,,,,,4.63302284880097
KGZ,1960,5.309,,,,,,,,,,
KHM,1960,6.313,,,,,,,,,,
KIR,1960,6.441,,,,,,,,,,
KNA,1960,6.541,221.584586097067,,,,,,,,,5.400804395130201
KOR,1960,5.994,158.274135881229,,,,,,,,,5.064328566811616
KWT,1960,7.223,,,,,,,,,,
LAC,1960,5.95599037685277,320.058532208234,,,,,,,,,5.768503892217932
LAO,1960,6.292,,,,,,,,,,
LBN,1960,5.877,,,,,,,,,,
LBR,1960,6.391,167.171498224694,,,,,,,,,5.11902022095645
LBY,1960,7.509,269.038073094669,,,,,,,,,5.594852905254526
LCA,1960,6.767,,,,,,,,,,
LCN,1960,5.86928989560833,361.677294235844,,,,,,,,,5.89075236185862
LDC,1960,6.59812881608925,114.742229115895,,,,,,,,,4.742688126524624
LIC,1960,6.42165203206928,,,,,,,,,,
LIE,1960,2.779,,,,,,,,,,
LKA,1960,5.352,145.928701305768,,,,,,,,,4.98311815520723
LMC,1960,6.21947416595434,104.411877181403,,,,,,,,,4.648343435083058
LMY,1960,5.48653717145984,127.599362742149,,,,,,,,,4.848895376714434
LSO,1960,5.784,46.9517802688466,,,,,,,,,3.849121123334676
