var,n,partial_r_winsor_1pct
current_usd,14313,0.2516787399824358
married_percentage,9941,0.1794850837564851
annual_rate,13784,-0.16302276913295852
unemployment,7602,-0.1293516636607454
deflation,13719,-0.09552237254012773
female_participation,7823,0.09495073146536327
CPI100,441,-0.05764899989293981
CPI10,382,-0.03338357382332286
WGI,260,-0.018889951226188792
